# mode, n, p, Original - Test, Original - Neutral, Weak - Test, Weak - Neutral, Strong - Test, Strong - Neutral
1.000000,5000.000000,0.500000,0.581000,0.598000,0.603000,0.595000,0.596000,0.621000
1.000000,5000.000000,0.800000,0.793000,0.507000,0.762000,0.530000,0.774000,0.544000
1.000000,5000.000000,0.850000,0.851000,0.505000,0.825000,0.517000,0.804000,0.579000
1.000000,5000.000000,0.900000,0.903000,0.519000,0.880000,0.539000,0.876000,0.539000
1.000000,5000.000000,0.950000,0.951000,0.495000,0.935000,0.514000,0.932000,0.502000
1.000000,5000.000000,1.000000,1.000000,0.494000,0.999000,0.495000,0.980000,0.513000
1.000000,10000.000000,0.500000,0.980000,0.975000,0.974000,0.972000,0.982000,0.981000
1.000000,10000.000000,0.800000,0.966000,0.933000,0.973000,0.953000,0.983000,0.960000
1.000000,10000.000000,0.850000,0.867000,0.571000,0.971000,0.936000,0.983000,0.973000
1.000000,10000.000000,0.900000,0.900000,0.507000,0.956000,0.887000,0.985000,0.969000
1.000000,10000.000000,0.950000,0.947000,0.495000,0.952000,0.726000,0.983000,0.941000
1.000000,10000.000000,1.000000,1.000000,0.519000,1.000000,0.520000,0.989000,0.903000
1.000000,15000.000000,0.500000,0.986000,0.989000,0.985000,0.988000,0.988000,0.992000
1.000000,15000.000000,0.800000,0.983000,0.979000,0.986000,0.982000,0.989000,0.985000
1.000000,15000.000000,0.850000,0.980000,0.948000,0.985000,0.974000,0.990000,0.990000
1.000000,15000.000000,0.900000,0.965000,0.852000,0.986000,0.961000,0.989000,0.982000
1.000000,15000.000000,0.950000,0.948000,0.505000,0.988000,0.946000,0.993000,0.970000
1.000000,15000.000000,1.000000,1.000000,0.486000,0.998000,0.741000,0.995000,0.957000
1.000000,20000.000000,0.500000,0.989000,0.989000,0.988000,0.988000,0.990000,0.990000
1.000000,20000.000000,0.800000,0.989000,0.979000,0.990000,0.990000,0.993000,0.991000
1.000000,20000.000000,0.850000,0.989000,0.970000,0.991000,0.979000,0.994000,0.987000
1.000000,20000.000000,0.900000,0.988000,0.947000,0.990000,0.976000,0.994000,0.988000
1.000000,20000.000000,0.950000,0.952000,0.535000,0.992000,0.965000,0.994000,0.987000
1.000000,20000.000000,1.000000,1.000000,0.533000,0.997000,0.865000,0.995000,0.979000
2.000000,5000.000000,0.500000,0.563000,0.545000,0.578000,0.567000,0.000000,0.000000
2.000000,5000.000000,0.800000,0.796000,0.476000,0.768000,0.508000,0.000000,0.000000
2.000000,5000.000000,0.850000,0.846000,0.509000,0.827000,0.518000,0.000000,0.000000
2.000000,5000.000000,0.900000,0.902000,0.483000,0.897000,0.496000,0.000000,0.000000
2.000000,5000.000000,0.950000,0.950000,0.499000,0.952000,0.542000,0.000000,0.000000
2.000000,5000.000000,1.000000,1.000000,0.536000,1.000000,0.540000,0.000000,0.000000
2.000000,10000.000000,0.500000,0.982000,0.975000,0.983000,0.981000,0.000000,0.000000
2.000000,10000.000000,0.800000,0.804000,0.493000,0.958000,0.944000,0.000000,0.000000
2.000000,10000.000000,0.850000,0.848000,0.484000,0.926000,0.844000,0.000000,0.000000
2.000000,10000.000000,0.900000,0.896000,0.512000,0.952000,0.843000,0.000000,0.000000
2.000000,10000.000000,0.950000,0.949000,0.499000,0.968000,0.773000,0.000000,0.000000
2.000000,10000.000000,1.000000,1.000000,0.477000,1.000000,0.486000,0.000000,0.000000
2.000000,15000.000000,0.500000,0.985000,0.988000,0.986000,0.990000,0.000000,0.000000
2.000000,15000.000000,0.800000,0.800000,0.519000,0.979000,0.968000,0.000000,0.000000
2.000000,15000.000000,0.850000,0.842000,0.551000,0.982000,0.963000,0.000000,0.000000
2.000000,15000.000000,0.900000,0.901000,0.507000,0.984000,0.941000,0.000000,0.000000
2.000000,15000.000000,0.950000,0.950000,0.472000,0.983000,0.886000,0.000000,0.000000
2.000000,15000.000000,1.000000,1.000000,0.505000,1.000000,0.520000,0.000000,0.000000
2.000000,20000.000000,0.500000,0.990000,0.987000,0.989000,0.988000,0.000000,0.000000
2.000000,20000.000000,0.800000,0.880000,0.724000,0.983000,0.982000,0.000000,0.000000
2.000000,20000.000000,0.850000,0.844000,0.511000,0.985000,0.972000,0.000000,0.000000
2.000000,20000.000000,0.900000,0.899000,0.524000,0.988000,0.956000,0.000000,0.000000
2.000000,20000.000000,0.950000,0.949000,0.499000,0.989000,0.928000,0.000000,0.000000
2.000000,20000.000000,1.000000,1.000000,0.504000,1.000000,0.524000,0.000000,0.000000
3.000000,5000.000000,0.500000,0.566000,0.538000,0.565000,0.537000,0.608000,0.621000
3.000000,5000.000000,0.800000,0.807000,0.564000,0.797000,0.574000,0.768000,0.601000
3.000000,5000.000000,0.850000,0.846000,0.555000,0.837000,0.570000,0.794000,0.648000
3.000000,5000.000000,0.900000,0.900000,0.546000,0.893000,0.543000,0.839000,0.676000
3.000000,5000.000000,0.950000,0.952000,0.540000,0.942000,0.545000,0.871000,0.739000
3.000000,5000.000000,1.000000,0.999000,0.511000,0.992000,0.512000,0.966000,0.531000
3.000000,10000.000000,0.500000,0.970000,0.977000,0.966000,0.959000,0.979000,0.972000
3.000000,10000.000000,0.800000,0.889000,0.765000,0.939000,0.924000,0.973000,0.965000
3.000000,10000.000000,0.850000,0.895000,0.701000,0.956000,0.943000,0.971000,0.959000
3.000000,10000.000000,0.900000,0.907000,0.511000,0.947000,0.877000,0.979000,0.965000
3.000000,10000.000000,0.950000,0.950000,0.558000,0.948000,0.744000,0.984000,0.968000
3.000000,10000.000000,1.000000,1.000000,0.531000,0.983000,0.587000,0.992000,0.982000
3.000000,15000.000000,0.500000,0.985000,0.980000,0.977000,0.976000,0.989000,0.990000
3.000000,15000.000000,0.800000,0.984000,0.961000,0.974000,0.964000,0.991000,0.990000
3.000000,15000.000000,0.850000,0.980000,0.941000,0.974000,0.962000,0.990000,0.987000
3.000000,15000.000000,0.900000,0.946000,0.761000,0.965000,0.937000,0.990000,0.983000
3.000000,15000.000000,0.950000,0.954000,0.506000,0.983000,0.932000,0.994000,0.985000
3.000000,15000.000000,1.000000,0.999000,0.507000,0.991000,0.689000,0.994000,0.986000
3.000000,20000.000000,0.500000,0.989000,0.993000,0.984000,0.976000,0.991000,0.997000
3.000000,20000.000000,0.800000,0.986000,0.975000,0.981000,0.983000,0.992000,0.996000
3.000000,20000.000000,0.850000,0.987000,0.969000,0.980000,0.974000,0.993000,0.995000
3.000000,20000.000000,0.900000,0.977000,0.902000,0.986000,0.961000,0.994000,0.988000
3.000000,20000.000000,0.950000,0.962000,0.607000,0.983000,0.951000,0.994000,0.984000
3.000000,20000.000000,1.000000,1.000000,0.548000,0.994000,0.724000,0.997000,0.990000